post_id,post_title,street_address,lat_lng,city,new_deal_categories,new_deal_agencies,artists_1,artist_2,artist_3,artist_4,artist_5,artist_6
3328,Hollywood Station Post Office Relief; Los Angeles,1615 Wilcox Ave.,"34.100142, -118.33128",Los Angeles,Sculpture and Bas Relief,Treasury Relief Art Project (TRAP),Gordon Newell,Sherry Peticolas,,,,
170752,City Hall: Mako Bas Reliefs; Burbank,275 E Olive Ave,"34.1820, -118.3081",Burbank,Bas Reliefs,WPA Arts Project (WPAAP),Bartholomew (Bartolo) Mako,,,,,
3329,Post Office Mural; Huntington Park,6606 Seville Ave.,"33.979060, -118.22252",Huntington Park,Murals,Treasury Relief Art Project (TRAP),Ivan Bartlett,Jean Swiggett,Norman Chamberlain,,,
3330,Post Office Wood Bas-Relief (Interior); Inglewood,300 East Hillcrest Blvd.,"33.9592, -118.351",Inglewood,Sculpture and Bas Relief,Treasury Section of Fine Arts (TSFA),Archibald Garner,,,,,
2828,Hollywood Bowl Sculpture; Los Angeles,2301 N Highland Ave,"34.111503, -118.33692",Los Angeles,Sculpture and Bas Relief,Federal Arts Project (FAP); Work Relief Programs; Works Progress Administration (WPA),George Stanley,,,,,
171788,Washington Middle School Mural; Long Beach,1450 Cedar Ave,"33.7849, -118.1948",Long Beach,Murals,Federal Arts Project (FAP),P. G. Napolitano,,,,,
84752,Lowell Elementary School Sculpture; Long Beach,5201 E Broadway,"33.7654, -118.1322",Long Beach,Sculptures,WPA Arts Project (WPAAP),Louis Zack,,,,,
171792,Belmont High School: Noble Mural; Los Angeles,1575 W 2nd St,"34.0619, -118.2631",Los Angeles,Murals,Federal Arts Project (FAP),Raymond Noble,,,,,
171794,Hall of Records (former): MacGurrin Murals; Los Angeles,210 W Temple St,"34.0550, -118.2434",Los Angeles,Murals,Federal Arts Project (FAP),Buckley MacGurrin,,,,,
532,Glendale Community College: C.A. Nelson Memorial Fountain; Glendale,1500 N Verdugo Rd,"34.1665, -118.2281",Glendale,Mosaics,Federal Arts Project (FAP),Robert Boag,,,,,
171799,Hall of Records (former): Lundeberg Mural; Los Angeles,210 W Temple St,"34.0550, -118.2434",Los Angeles,Murals,Federal Arts Project (FAP),Helen Lundeberg,,,,,
171801,Hall of Records (former): Feitelson Mural; Los Angeles,210 W Temple St,"34.0550, -118.2434",Los Angeles,Murals,Federal Arts Project (FAP),Lorser Feitelson,,,,,
1072,City Attorney's Office Mural; Burbank,275 E Olive Ave,"34.1833, -118.3089",Burbank,Murals,WPA Arts Project (WPAAP),Bartholomew (Bartolo) Mako,,,,,
3380,Post Office Bas Reliefs; San Fernando,308 South Maclay Ave.,"34.282096, -118.44253",San Fernando,Murals,Treasury Section of Fine Arts (TSFA),Gordon Newell,Sherry Peticolas,,,,
822,San Pedro High School: Comfort Murals; San Pedro,1001 W. 15th St.,"33.7300, -118.2987",San Pedro,Murals,Federal Arts Project (FAP),Tyrone Comfort,,,,,
2614,Post Office Mural; Compton,101 S Willowbrook Ave,"33.89562, -118.22446",Compton,Murals,Treasury Relief Art Project (TRAP),Donald Totten,James Redmond,,,,
