artist,project
Gordon Newell,Hollywood Station Post Office Relief; Los Angeles
Bartholomew (Bartolo) Mako,City Hall: Mako Bas Reliefs; Burbank
Ivan Bartlett,Post Office Mural; Huntington Park
Archibald Garner,Post Office Wood Bas-Relief (Interior); Inglewood
George Stanley,Hollywood Bowl Sculpture; Los Angeles
P. G. Napolitano,Washington Middle School Mural; Long Beach
Louis Zack,Lowell Elementary School Sculpture; Long Beach
Raymond Noble,Belmont High School: Noble Mural; Los Angeles
Buckley MacGurrin,Hall of Records (former): MacGurrin Murals; Los Angeles
Robert Boag,Glendale Community College: C.A. Nelson Memorial Fountain; Glendale
Helen Lundeberg,Hall of Records (former): Lundeberg Mural; Los Angeles
Lorser Feitelson,Hall of Records (former): Feitelson Mural; Los Angeles
Bartholomew (Bartolo) Mako,City Attorney's Office Mural; Burbank
Gordon Newell,Post Office Bas Reliefs; San Fernando
Tyrone Comfort,San Pedro High School: Comfort Murals; San Pedro
Donald Totten,Post Office Mural; Compton
Arthur Prunier,City Hall Murals; South Gate
Ray Strong,Post Office Mural; San Gabriel
Saul Rabino,Jewish Home for the Aged (former) Mural; Los Angeles
Grace Clements,Damien High School Mural; La Verne
Charles Jorgenson,El Rodeo Elementary School Mural; Beverly Hills
Rex Sorensen,Virgil Middle School: Sorensen Reliefs; Los Angeles
Albert Henry King,Plaza Mosaic; Long Beach
Grace Richardson Clements,Municipal Airport: Clements Mosaics; Long Beach
Arthur Ames,John C. Fremont School Murals; Anaheim
Charles Kassler,Central Library Fresco (destroyed); Los Angeles
Grace Clements,Venice High School Murals; Los Angeles
Sargent Johnson,Johnson Organ Screen; San Marino
Stefan De Vriedt,McKinley Elementary School Sculpture; Santa Monica
John Palo-Kangas,Santa Monica High School: Palo-Kangas Sculpture; Santa Monica
Myer Shaffer,City of Hope: Shaffer Mural (former); Duarte
Ben Messick,Frank Wiggins Trade School Mural (lost); Los Angeles
Fred Bessinger,Main Library Macdonald-Wright Mural Cycle; Santa Monica
Jose Moya del Pino,Post Office Mural; Lancaster
Djey el Djey,Thomas Starr King Middle School: Djey el Djey Sculpture; Los Angeles
Nina Saemundsson,MacArthur Park Statue; Los Angeles
Myer Shaffer,Mt. Sinai Home for Chronic Invalids (former) Mural; Los Angeles
Olinka Hrdy,Will Rogers Middle School Mural; Long Beach
Francis J. Van Halle,Robert E. Peary Middle School: Van Halle Painting; Gardena
Adrien Machefert,Ann Street Elementary School Mural; Los Angeles
George Henry Melcher,Canoga Park High School: Melcher Painting -noga Park
Geza Kende,Robert E. Peary Middle School: Kende Painting; Gardena
Carlos Dyer,Woodrow Wilson High School Mural; Long Beach
Helen K. Forbes,Monrovia Public Library Mural; Monrovia 
Eugenia Everett,City Hall Everett Sculpture; Santa Monica
Dorothy Jeakins,Johnnie L. Cochran Jr. Middle School: Jeakins Painting; Los Angeles
Barse Miller,Downtown Post Office Mural; Burbank
Hugo Ballin,City Hall: Ballin Murals; Burbank
Bartholomew (Bartolo) Mako,Hollywood High School: Mako Bas Reliefs; Los Angeles
Maynard Dixon,Post Office Mural -noga Park
Charles Reiffel,Rudecinda Sepulveda Dodson Middle School: Reiffel Painting; Rancho Palos Verdes
Norman Yeckley,Robert E. Peary Middle School: Yeckley Painting; Gardena
Milford Zornes,Robert E. Peary Middle School: Zornes Painting; Gardena
Helen Lundeberg,"Grevillea Art Park ""History of Transportation"" Mural; Inglewood"
Helen Lundeberg,Canoga Park High School Mural -noga Park
Ross Dickinson,San Pedro High School: Dickinson Mural; San Pedro
